/home/service/the-one-normal/reports/freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2_MessageStatsReport.txt does not exist. Simulating...
Setting values: {'Group.router': 'EpidemicRouter', 'Group.bufferSize': '1000G', 'Group.msgTtl': '400', 'Events1.size': '1M', 'MovementModel.warmup': '18000', 'Scenario.endTime': '39600', 'Events1.interval': '1', 'Scenario.updateInterval': '0.1', 'ProphetV2Router.beta': '0.9', 'ProphetV2Router.gamma': '0.999885791', 'btInterface.transmitSpeed': '5M', 'btInterface.transmitRange': '80', 'MovementModel.rngSeed': '2'}
['./one.sh', '-b', '1', 'freiburg1True_settings.txt']
Percent: 1/144
Run 1/1
23 in line defined by file data/freiburg1True/1_schedule.csv
24 in line defined by file data/freiburg1True/2_schedule.csv
44 in line defined by file data/freiburg1True/3_schedule.csv
15 in line defined by file data/freiburg1True/4_schedule.csv
11 in line defined by file data/freiburg1True/5_schedule.csv
Running simulation 'freiburg1True_router:EpidemicRouter_bSize:1000G_Ttl:400_Events1.size:1M_endTime:39600_warmup:18000_Events1.interval:1_updateInt:0.1_beta:0.9_gamma:0.999885791_tSpeed:5M_tRange:80_seed:2'
33483.4 36483: 0.38 1/s
33543.4 36502: 0.32 1/s
33603.6 36522: 0.32 1/s
33664.0 36541: 0.32 1/s
33724.1 36557: 0.27 1/s
33784.6 36575: 0.29 1/s
33844.7 36591: 0.27 1/s
33904.9 36606: 0.25 1/s
33965.6 36621: 0.24 1/s
34025.7 36643: 0.37 1/s
34086.0 36665: 0.35 1/s
34146.1 36682: 0.29 1/s
34206.3 36702: 0.34 1/s
34266.4 36723: 0.34 1/s
34326.6 36743: 0.34 1/s
34386.9 36761: 0.30 1/s
34447.2 36779: 0.29 1/s
34507.2 36800: 0.35 1/s
34567.4 36825: 0.42 1/s
34627.5 36844: 0.32 1/s
34687.6 36860: 0.26 1/s
34747.7 36879: 0.32 1/s
34807.8 36901: 0.35 1/s
34867.8 36922: 0.36 1/s
34927.9 36948: 0.43 1/s
34988.0 36975: 0.44 1/s
35048.1 37001: 0.43 1/s
35108.3 37025: 0.41 1/s
35168.5 37047: 0.37 1/s
35228.7 37070: 0.37 1/s
35288.8 37085: 0.25 1/s
35349.2 37099: 0.24 1/s
35409.3 37124: 0.41 1/s
35469.4 37152: 0.46 1/s
35529.4 37179: 0.46 1/s
35589.5 37206: 0.44 1/s
35649.5 37229: 0.39 1/s
35709.5 37253: 0.40 1/s
35769.7 37269: 0.26 1/s
35830.0 37283: 0.24 1/s
35890.0 37298: 0.25 1/s
35950.2 37318: 0.32 1/s
36010.3 37335: 0.28 1/s
36070.7 37352: 0.29 1/s
36130.7 37371: 0.32 1/s
36191.0 37385: 0.23 1/s
36251.1 37398: 0.22 1/s
36311.3 37414: 0.26 1/s
36371.6 37434: 0.34 1/s
36431.9 37454: 0.33 1/s
36492.0 37471: 0.28 1/s
36552.2 37495: 0.40 1/s
36612.7 37516: 0.35 1/s
36672.8 37532: 0.27 1/s
36733.0 37554: 0.37 1/s
36793.0 37577: 0.38 1/s
36853.2 37600: 0.38 1/s
36913.4 37626: 0.43 1/s
36973.5 37655: 0.48 1/s
37033.6 37685: 0.50 1/s
37094.0 37706: 0.35 1/s
37154.0 37740: 0.57 1/s
37214.1 37770: 0.50 1/s
37274.2 37796: 0.44 1/s
37334.3 37813: 0.28 1/s
37394.5 37831: 0.29 1/s
37454.8 37850: 0.33 1/s
37514.8 37866: 0.27 1/s
37575.1 37885: 0.31 1/s
37635.2 37908: 0.38 1/s
