# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6263.0000 M751 5000000 3 2508.0000 S101 S17 158 N S101->S24->3_237->S17
6268.0000 M663 5000000 4 2953.0000 S210 S17 150 N S210->3_235->S115->3_237->S17
6292.4000 M345 5000000 3 4567.4000 S5 S82 123 N S5->S93->9_306->S82
6333.4000 M944 5000000 3 1613.4000 S181 S64 173 N S181->S74->2_224->S64
6352.2000 M430 5000000 2 4202.2000 S186 S92 129 N S186->4_247->S92
6387.1000 M1178 5000000 3 497.1000 S57 S118 191 N S57->S108->4_247->S118
6550.4000 M843 5000000 2 2335.4000 S5 S42 161 N S5->3_238->S42
6563.5000 M954 5000000 2 1793.5000 S103 S109 170 N S103->4_245->S109
6564.2000 M870 5000000 2 2214.2000 S67 S75 163 N S67->7_277->S75
6568.5000 M603 5000000 2 3553.5000 S133 S109 140 N S133->4_245->S109
6569.2000 M818 5000000 3 2479.2000 S39 S97 158 N S39->7_279->7_277->S97
6584.0000 M364 5000000 5 4764.0000 S105 S131 120 N S105->9_307->S211->S7->2_225->S131
6610.4000 M601 5000000 3 3605.4000 S211 S10 139 N S211->S20->2_224->S10
6680.4000 M1054 5000000 2 1410.4000 S81 S100 176 N S81->7_279->S100
6694.0000 M410 5000000 4 4644.0000 S93 S187 122 N S93->3_235->S178->3_238->S187
6699.1000 M307 5000000 3 5164.1000 S192 S187 113 N S192->S114->2_224->S187
6707.8000 M932 5000000 5 2047.8000 S133 S127 165 N S133->4_247->S187->S151->4_245->S127
6833.8000 M1024 5000000 4 1713.8000 S185 S154 171 N S185->S129->9_306->S9->S154
6877.4000 M679 5000000 3 3482.4000 S116 S143 141 N S116->S141->2_225->S143
6892.4000 M278 5000000 4 5502.4000 S22 S82 108 N S22->S89->3_237->9_308->S82
6902.8000 M514 5000000 3 4332.8000 S21 S127 127 N S21->S210->3_235->S127
6984.3000 M1051 5000000 2 1729.3000 S49 S110 171 N S49->4_246->S110
7003.3000 M862 5000000 5 2693.3000 S73 S137 155 N S73->S99->2_226->S131->2_224->S137
7008.3000 M319 5000000 3 5413.3000 S114 S190 109 N S114->S72->2_224->S190
